timestamp,open,high,low,close,adjusted close,volume,dividend amount
2012-06-08,188.3400,195.8299,187.0000,195.1400,114.1876,18002600,0.0000
2012-06-01,195.2200,198.0800,188.6000,189.0800,110.6416,21714900,0.0000
2012-05-25,195.9800,198.2600,193.2000,194.3000,113.6961,17970000,0.0000
2012-05-18,199.9200,201.4679,195.1600,195.8800,114.6206,22381000,0.0000
2012-05-11,203.9600,204.7700,199.0600,201.1700,117.7161,17219400,0.8500
2012-05-04,206.7100,208.9290,204.4000,204.9900,119.4475,14699600,0.0000
2012-04-27,197.8900,208.1700,196.7910,206.8100,120.5080,20048100,0.0000
2012-04-20,204.7400,207.6400,197.5210,199.6000,116.3067,30566700,0.0000
2012-04-13,204.4000,206.1700,202.1700,202.8000,118.1714,17522600,0.0000
2012-04-05,208.9600,210.6900,204.4600,205.4700,119.7272,15692400,0.0000
2012-03-30,206.4500,209.1200,206.0200,208.6500,121.5802,16007300,0.0000
2012-03-23,205.7100,206.5300,203.7020,205.4800,119.7330,17132200,0.0000
2012-03-16,200.9300,207.5200,200.2300,206.0100,120.0418,25846100,0.0000
2012-03-09,198.3600,201.1900,196.8120,200.6200,116.9011,21823600,0.0000
2012-03-02,196.7800,199.1700,196.1000,198.8100,115.8464,19330600,0.0000
2012-02-24,193.7300,199.2300,192.4600,197.7600,115.2346,17955300,0.0000
2012-02-17,193.3100,193.8600,190.8310,193.4200,112.7057,17149800,0.0000
2012-02-10,192.4800,194.4600,191.2800,192.4200,112.1230,18144100,0.7500
2012-02-03,189.3900,194.8100,188.2200,193.6400,112.3970,22703600,0.0000
2012-01-27,187.9100,192.7900,187.6700,190.4600,110.5512,22822200,0.0000
2012-01-20,180.3600,188.9700,179.3200,188.5200,109.4251,32020900,0.0000
2012-01-13,182.2000,183.7200,177.3472,179.1600,103.9922,26633200,0.0000
2012-01-06,186.7300,188.7100,182.3100,182.5400,105.9541,19352900,0.0000
2011-12-30,184.9700,186.4800,183.3400,183.8800,106.7318,12119700,0.0000
2011-12-23,184.5100,187.3300,179.0400,184.7500,107.2368,27166800,0.0000
2011-12-16,193.6400,194.3000,181.9100,183.5700,106.5519,30186100,0.0000
2011-12-09,191.1800,194.9000,190.3200,194.5600,112.9310,24142900,0.0000
2011-12-02,182.7100,191.3300,180.6700,189.6600,110.0868,25843600,0.0000
2011-11-25,183.3700,183.9600,177.0600,177.0600,102.7732,16357400,0.0000
2011-11-18,189.1700,189.9700,183.3900,185.2400,107.5212,25522100,0.0000
2011-11-11,186.2200,187.8800,181.1600,187.3800,108.7634,20903100,0.7500
2011-11-04,185.5900,187.7800,180.7400,186.3800,107.7514,22918900,0.0000
2011-10-28,181.5100,188.0700,179.0300,187.4500,108.3700,28719000,0.0000
